episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,33963,0.38049129417001787,10287,3.19,0.001,0.998
2000,65866,0.36193406234793696,16662,3.68,0.002,0.998
3000,97973,0.3442818994674461,21350,4.59,0.003,0.994
4000,131260,0.32749066371920244,25019,5.37,0.001,0.998
5000,162902,0.3115183661677936,28094,5.19,0.005,0.994
6000,193463,0.2963250657522844,30621,5.81,0.002,0.998
7000,226175,0.2818727694077567,33072,6.22,0.002,0.998
8000,256086,0.26812533705811153,35028,6.48,0.002,0.998
9000,285066,0.2550483912425324,36820,7.32,0.001,0.999
10000,315988,0.24260923114963107,38971,8.8,0.008,0.991
11000,345492,0.2307767508442905,40985,8.91,0.004,0.995
12000,373190,0.21952136148273962,42503,9.25,0.005,0.995
13000,400719,0.20881491732132998,44133,10.78,0.007,0.993
14000,428171,0.198630645333996,45721,11.44,0.008,0.991
15000,456176,0.18894307826239523,47378,12.13,0.01,0.989
16000,482598,0.1797279909313141,49026,13.3,0.014,0.985
17000,510107,0.17096233967008276,50663,14.12,0.019,0.981
18000,535939,0.16262420468850974,52074,14.24,0.013,0.986
19000,560600,0.15469273526325256,53227,14.84,0.021,0.979
20000,585665,0.14714809759753764,54731,15.71,0.016,0.984
21000,611341,0.13997142522385816,56017,17.5,0.027,0.973
22000,636223,0.13314477182561918,57336,17.29,0.018,0.982
23000,659629,0.12665106635975368,58468,18.24,0.028,0.972
24000,682806,0.12047407036808883,59521,18.79,0.038,0.961
25000,707069,0.11459833737070983,60618,19.65,0.034,0.965
26000,730607,0.10900917423978466,61674,20.81,0.041,0.957
27000,753234,0.10369260445725163,62560,20.37,0.029,0.971
28000,777145,0.09863533316449892,63672,21.65,0.034,0.966
29000,799663,0.09382471391662742,64671,21.81,0.034,0.966
30000,823425,0.08924871705817324,65618,23.07,0.041,0.959
31000,846667,0.08489589964119515,66537,23.13,0.044,0.954
32000,869546,0.08075537681051585,67271,23.69,0.053,0.947
33000,891935,0.07681679458455153,68150,23.65,0.045,0.955
34000,913971,0.07307030396367098,68858,24.7,0.067,0.933
35000,936526,0.06950653630133428,69554,25.27,0.065,0.935
36000,958474,0.06611657987642498,70126,26.74,0.083,0.917
37000,979617,0.06289195760819075,70758,26.26,0.085,0.914
38000,1001879,0.05982460585806616,71430,27.29,0.085,0.914
39000,1024040,0.05690685426536711,72039,26.88,0.077,0.923
40000,1046779,0.054131406566435475,72713,28.13,0.105,0.895
41000,1068152,0.05149132234926605,73275,29.05,0.112,0.888
42000,1090668,0.05,73901,29.29,0.121,0.879
43000,1113801,0.05,74516,30.44,0.132,0.868
44000,1135724,0.05,74924,30.2,0.127,0.872
45000,1157871,0.05,75356,30.84,0.136,0.864
46000,1179026,0.05,75791,30.94,0.144,0.856
47000,1201772,0.05,76150,32.29,0.163,0.836
48000,1224900,0.05,76591,32.72,0.169,0.83
49000,1248015,0.05,77024,32.18,0.158,0.842
50000,1270490,0.05,77348,33.54,0.185,0.814
