episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,34081,0.38049129417001787,10656,3.48,0.002,0.997
2000,67347,0.36193406234793696,17072,3.82,0.001,0.996
3000,100473,0.3442818994674461,21956,4.36,0.0,0.999
4000,133242,0.32749066371920244,25490,4.53,0.003,0.996
5000,166466,0.3115183661677936,28845,5.94,0.002,0.997
6000,199031,0.2963250657522844,31392,6.09,0.005,0.993
7000,231480,0.2818727694077567,34096,7.2,0.003,0.996
8000,260407,0.26812533705811153,36098,6.97,0.004,0.995
9000,288769,0.2550483912425324,38063,8.05,0.006,0.994
10000,316683,0.24260923114963107,39993,9.03,0.006,0.994
11000,344521,0.2307767508442905,41755,9.91,0.01,0.99
12000,372549,0.21952136148273962,43542,11.08,0.01,0.987
13000,399104,0.20881491732132998,45211,11.17,0.009,0.99
14000,426064,0.198630645333996,46818,12.28,0.003,0.996
15000,451210,0.18894307826239523,48147,12.7,0.01,0.99
16000,477544,0.1797279909313141,49710,13.3,0.011,0.988
17000,504270,0.17096233967008276,51442,14.78,0.017,0.981
18000,530971,0.16262420468850974,53198,15.79,0.017,0.981
19000,555490,0.15469273526325256,54453,15.96,0.014,0.986
20000,579792,0.14714809759753764,55640,16.14,0.017,0.983
21000,604000,0.13997142522385816,57035,17.3,0.02,0.98
22000,627945,0.13314477182561918,58130,17.45,0.025,0.975
23000,652542,0.12665106635975368,59305,19.07,0.024,0.975
24000,676270,0.12047407036808883,60410,19.12,0.022,0.978
25000,701521,0.11459833737070983,61601,19.46,0.017,0.982
26000,724662,0.10900917423978466,62705,20.61,0.038,0.962
27000,747271,0.10369260445725163,63586,20.61,0.028,0.972
28000,770759,0.09863533316449892,64627,20.94,0.039,0.96
29000,794220,0.09382471391662742,65582,22.46,0.045,0.954
30000,817389,0.08924871705817324,66301,22.5,0.046,0.953
31000,841400,0.08489589964119515,67174,23.41,0.051,0.948
32000,863244,0.08075537681051585,67912,23.22,0.048,0.952
33000,886291,0.07681679458455153,68735,24.25,0.051,0.949
34000,908072,0.07307030396367098,69435,24.02,0.049,0.951
35000,930079,0.06950653630133428,70064,25.65,0.069,0.93
36000,951848,0.06611657987642498,70699,24.59,0.048,0.951
37000,973172,0.06289195760819075,71311,25.71,0.072,0.928
38000,995157,0.05982460585806616,71887,25.76,0.076,0.924
39000,1016915,0.05690685426536711,72424,27.46,0.084,0.916
40000,1040456,0.054131406566435475,73161,26.58,0.079,0.921
41000,1062366,0.05149132234926605,73751,28.56,0.105,0.895
42000,1084678,0.05,74350,28.51,0.098,0.902
43000,1106589,0.05,74879,29.83,0.118,0.882
44000,1129073,0.05,75385,30.59,0.137,0.863
45000,1151382,0.05,75761,30.01,0.117,0.883
46000,1173745,0.05,76248,31.34,0.133,0.867
47000,1196621,0.05,76665,31.1,0.133,0.867
48000,1219335,0.05,77152,32.27,0.16,0.84
49000,1241453,0.05,77517,32.05,0.145,0.855
50000,1264821,0.05,77970,32.17,0.152,0.848
