episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,37066,0.38049129417001787,3113,-18.73,0.024,0.975
2000,74735,0.36193406234793696,4209,34.79,0.21,0.788
3000,109842,0.3442818994674461,4777,75.11,0.377,0.623
4000,143111,0.32749066371920244,5028,106.6,0.502,0.498
5000,175965,0.3115183661677936,5124,128.84,0.592,0.408
6000,207575,0.2963250657522844,5180,131.47,0.6,0.4
7000,239101,0.2818727694077567,5230,140.42,0.637,0.363
8000,269962,0.26812533705811153,5264,144.04,0.653,0.347
9000,300282,0.2550483912425324,5280,145.52,0.668,0.332
10000,330909,0.24260923114963107,5300,152.35,0.686,0.314
11000,361402,0.2307767508442905,5313,165.68,0.747,0.253
12000,391447,0.21952136148273962,5316,170.32,0.756,0.244
13000,420982,0.20881491732132998,5323,163.63,0.744,0.256
14000,450688,0.198630645333996,5326,176.94,0.782,0.218
15000,480826,0.18894307826239523,5329,180.26,0.791,0.209
16000,510116,0.1797279909313141,5330,177.05,0.791,0.209
17000,539458,0.17096233967008276,5334,182.49,0.81,0.19
18000,568723,0.16262420468850974,5334,183.25,0.823,0.177
19000,598082,0.15469273526325256,5340,192.26,0.837,0.163
20000,626768,0.14714809759753764,5340,186.66,0.83,0.17
21000,655194,0.13997142522385816,5343,190.05,0.836,0.164
22000,683834,0.13314477182561918,5343,194.1,0.868,0.132
23000,712110,0.12665106635975368,5348,195.32,0.864,0.136
24000,739945,0.12047407036808883,5348,194.24,0.871,0.129
25000,768305,0.11459833737070983,5348,198.23,0.87,0.13
