episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,35901,0.38049129417001787,2939,-16.68,0.029,0.971
2000,71487,0.36193406234793696,3597,33.34,0.2,0.8
3000,104690,0.3442818994674461,3785,83.74,0.406,0.594
4000,136580,0.32749066371920244,3840,106.8,0.508,0.492
5000,169254,0.3115183661677936,3865,127.12,0.59,0.41
6000,200550,0.2963250657522844,3879,130.53,0.603,0.397
7000,232000,0.2818727694077567,3903,134.93,0.625,0.375
8000,262532,0.26812533705811153,3912,137.72,0.632,0.368
9000,293964,0.2550483912425324,3922,149.52,0.672,0.328
10000,323910,0.24260923114963107,3924,141.39,0.658,0.342
11000,354027,0.2307767508442905,3934,151.2,0.698,0.302
12000,384219,0.21952136148273962,3936,160.45,0.728,0.272
13000,414490,0.20881491732132998,3940,166.69,0.745,0.255
14000,444521,0.198630645333996,3943,167.08,0.756,0.244
15000,473794,0.18894307826239523,3961,174.78,0.791,0.209
16000,503095,0.1797279909313141,3963,172.41,0.775,0.225
17000,532662,0.17096233967008276,3963,176.41,0.791,0.209
18000,561204,0.16262420468850974,3963,178.52,0.81,0.19
19000,590031,0.15469273526325256,3963,179.27,0.803,0.197
20000,619075,0.14714809759753764,3963,186.41,0.831,0.169
21000,648380,0.13997142522385816,3963,189.84,0.844,0.156
22000,677528,0.13314477182561918,3963,190.37,0.85,0.15
23000,706241,0.12665106635975368,3973,189.64,0.843,0.157
24000,734898,0.12047407036808883,3974,192.07,0.869,0.131
25000,763186,0.11459833737070983,3975,197.83,0.883,0.117
