encoding,iteration,n_value,episode,seed,total_reward,final_reward,steps,epsilon,q_state_count,success,converged
numerical,0,5,1,3,10.0,0.0,200,0.4,19,False,False
numerical,0,5,2,3,-30.0,-40.0,16,0.396,20,False,False
numerical,0,5,3,3,30.0,-40.0,56,0.39204,34,False,False
numerical,0,5,4,3,10.0,-40.0,12,0.3881196,36,False,False
numerical,0,5,5,3,10.0,-40.0,14,0.384238404,37,False,False
numerical,0,5,6,3,-10.0,-40.0,50,0.38039601996,39,False,False
numerical,0,5,7,3,-30.0,-40.0,11,0.3765920597604,39,False,False
numerical,0,5,8,3,30.0,-40.0,23,0.372826139162796,44,False,False
numerical,0,5,9,3,10.0,-40.0,37,0.36909787777116804,45,False,False
numerical,0,5,10,3,30.0,-40.0,25,0.36540689899345635,46,False,False
numerical,0,5,11,3,200.0,110.0,61,0.36175283000352176,59,True,False
numerical,0,5,12,3,10.0,-40.0,26,0.35813530170348656,64,False,False
numerical,0,5,13,3,30.0,-40.0,41,0.3545539486864517,72,False,False
numerical,0,5,14,3,10.0,-40.0,25,0.35100840919958715,72,False,False
numerical,0,5,15,3,10.0,-40.0,13,0.34749832510759127,73,False,False
numerical,0,5,16,3,30.0,-40.0,19,0.34402334185651534,73,False,False
numerical,0,5,17,3,30.0,-40.0,47,0.3405831084379502,73,False,False
numerical,0,5,18,3,240.0,110.0,44,0.33717727735357067,79,True,False
numerical,0,5,19,3,180.0,110.0,23,0.33380550458003494,79,True,False
numerical,0,5,20,3,-30.0,-40.0,5,0.33046744953423457,79,False,False
numerical,0,5,21,3,220.0,110.0,49,0.32716277503889224,83,True,False
numerical,0,5,22,3,30.0,-40.0,29,0.3238911472885033,83,False,False
numerical,0,5,23,3,30.0,-40.0,21,0.3206522358156183,84,False,False
numerical,0,5,24,3,30.0,-40.0,35,0.31744571345746214,84,False,False
numerical,0,5,25,3,10.0,-40.0,43,0.3142712563228875,85,False,False
numerical,0,5,26,3,30.0,-40.0,57,0.3111285437596586,86,False,False
numerical,0,5,27,3,30.0,-40.0,26,0.308017258322062,87,False,False
numerical,0,5,28,3,220.0,110.0,49,0.3049370857388414,88,True,False
numerical,0,5,29,3,180.0,110.0,40,0.30188771488145294,90,True,False
numerical,0,5,30,3,240.0,110.0,39,0.2988688377326384,90,True,False
numerical,0,5,31,3,240.0,110.0,47,0.295880149355312,90,True,False
numerical,0,5,32,3,260.0,110.0,41,0.2929213478617589,92,True,False
numerical,0,5,33,3,240.0,110.0,39,0.2899921343831413,92,True,False
numerical,0,5,34,3,200.0,110.0,26,0.2870922130393099,94,True,False
numerical,0,5,35,3,200.0,110.0,25,0.2842212909089168,94,True,False
numerical,0,5,36,3,240.0,110.0,105,0.28137907799982764,100,True,False
numerical,0,5,37,3,240.0,110.0,30,0.27856528721982937,100,True,False
numerical,0,5,38,3,240.0,110.0,32,0.2757796343476311,100,True,False
numerical,0,5,39,3,50.0,-40.0,20,0.27302183800415475,100,False,False
numerical,0,5,40,3,30.0,-40.0,17,0.2702916196241132,100,False,False
numerical,0,5,41,3,10.0,-40.0,10,0.26758870342787205,100,False,False
numerical,0,5,42,3,180.0,110.0,31,0.2649128163935933,100,True,False
numerical,0,5,43,3,180.0,110.0,23,0.2622636882296574,100,True,False
numerical,0,5,44,3,260.0,110.0,31,0.2596410513473608,100,True,False
numerical,0,5,45,3,260.0,110.0,41,0.25704464083388723,101,True,False
numerical,0,5,46,3,200.0,110.0,21,0.25447419442554836,101,True,False
numerical,0,5,47,3,180.0,110.0,21,0.2519294524812929,101,True,False
numerical,0,5,48,3,200.0,110.0,29,0.24941015795647997,101,True,False
numerical,0,5,49,3,180.0,110.0,17,0.24691605637691516,101,True,False
numerical,0,5,50,3,30.0,-40.0,30,0.24444689581314602,101,False,False
numerical,0,5,51,3,-30.0,-40.0,5,0.24200242685501455,101,False,False
numerical,0,5,52,3,10.0,-40.0,16,0.2395824025864644,101,False,False
numerical,0,5,53,3,200.0,110.0,21,0.23718657856059977,101,True,False
numerical,0,5,54,3,220.0,110.0,29,0.23481471277499377,101,True,False
numerical,0,5,55,3,180.0,110.0,23,0.23246656564724383,101,True,False
numerical,0,5,56,3,30.0,-40.0,13,0.2301418999907714,101,False,False
numerical,0,5,57,3,220.0,110.0,31,0.22784048099086368,101,True,False
numerical,0,5,58,3,180.0,110.0,23,0.22556207618095503,101,True,False
numerical,0,5,59,3,200.0,110.0,21,0.22330645541914548,101,True,False
numerical,0,5,60,3,240.0,110.0,23,0.22107339086495403,101,True,False
numerical,0,5,61,3,220.0,110.0,29,0.2188626569563045,101,True,False
numerical,0,5,62,3,200.0,110.0,21,0.21667403038674146,101,True,False
numerical,0,5,63,3,200.0,110.0,25,0.21450729008287406,101,True,False
numerical,0,5,64,3,180.0,110.0,21,0.21236221718204532,101,True,False
numerical,0,5,65,3,240.0,110.0,31,0.21023859501022485,101,True,False
numerical,0,5,66,3,240.0,110.0,26,0.2081362090601226,101,True,False
numerical,0,5,67,3,-30.0,-40.0,5,0.20605484696952137,102,False,False
numerical,0,5,68,3,260.0,110.0,43,0.20399429849982614,102,True,False
numerical,0,5,69,3,260.0,110.0,32,0.20195435551482788,102,True,False
numerical,0,5,70,3,200.0,110.0,21,0.1999348119596796,102,True,False
numerical,0,5,71,3,10.0,-40.0,10,0.19793546384008281,102,False,False
numerical,0,5,72,3,240.0,110.0,27,0.195956109201682,102,True,False
numerical,0,5,73,3,200.0,110.0,23,0.19399654810966518,102,True,False
numerical,0,5,74,3,200.0,110.0,25,0.19205658262856853,102,True,False
numerical,0,5,75,3,220.0,110.0,27,0.19013601680228284,102,True,False
numerical,0,5,76,3,240.0,110.0,31,0.18823465663426,102,True,False
numerical,0,5,77,3,200.0,110.0,19,0.18635231006791741,102,True,False
numerical,0,5,78,3,10.0,-40.0,14,0.18448878696723825,102,False,False
numerical,0,5,79,3,240.0,110.0,29,0.18264389909756587,102,True,False
numerical,0,5,80,3,200.0,110.0,23,0.18081746010659022,102,True,False
numerical,0,5,81,3,200.0,110.0,19,0.1790092855055243,102,True,False
numerical,0,5,82,3,260.0,110.0,29,0.17721919265046907,102,True,False
numerical,0,5,83,3,-30.0,-40.0,5,0.17544700072396438,102,False,False
numerical,0,5,84,3,240.0,110.0,25,0.17369253071672475,102,True,False
numerical,0,5,85,3,180.0,110.0,22,0.1719556054095575,102,True,False
numerical,0,5,86,3,240.0,110.0,34,0.17023604935546194,102,True,False
numerical,0,5,87,3,200.0,110.0,19,0.1685336888619073,102,True,False
numerical,0,5,88,3,260.0,110.0,29,0.16684835197328823,102,True,False
numerical,0,5,89,3,260.0,110.0,35,0.16517986845355534,102,True,False
numerical,0,5,90,3,220.0,110.0,25,0.1635280697690198,102,True,False
numerical,0,5,91,3,260.0,110.0,35,0.1618927890713296,102,True,False
numerical,0,5,92,3,240.0,110.0,23,0.1602738611806163,102,True,False
numerical,0,5,93,3,200.0,110.0,23,0.15867112256881014,102,True,False
numerical,0,5,94,3,260.0,110.0,38,0.15708441134312204,102,True,False
numerical,0,5,95,3,200.0,110.0,27,0.1555135672296908,102,True,False
numerical,0,5,96,3,30.0,-40.0,13,0.15395843155739392,102,False,False
numerical,0,5,97,3,220.0,110.0,31,0.15241884724181998,102,True,False
numerical,0,5,98,3,260.0,110.0,27,0.15089465876940178,102,True,False
numerical,0,5,99,3,240.0,110.0,29,0.14938571218170776,102,True,False
numerical,0,5,100,3,200.0,110.0,23,0.1478918550598907,102,True,False
numerical,0,5,101,3,260.0,110.0,33,0.1464129365092918,102,True,False
numerical,0,5,102,3,220.0,110.0,23,0.1449488071441989,102,True,False
numerical,0,5,103,3,200.0,110.0,23,0.1434993190727569,102,True,False
numerical,0,5,104,3,180.0,110.0,20,0.14206432588202933,102,True,False
numerical,0,5,105,3,200.0,110.0,25,0.14064368262320903,102,True,False
numerical,0,5,106,3,30.0,-40.0,15,0.13923724579697694,102,False,False
numerical,0,5,107,3,240.0,110.0,25,0.13784487333900716,102,True,False
numerical,0,5,108,3,200.0,110.0,19,0.1364664246056171,102,True,False
numerical,0,5,109,3,240.0,110.0,27,0.13510176035956092,102,True,False
numerical,0,5,110,3,260.0,110.0,28,0.13375074275596532,102,True,False
numerical,0,5,111,3,180.0,110.0,17,0.13241323532840568,102,True,False
numerical,0,5,112,3,200.0,110.0,21,0.13108910297512164,102,True,False
numerical,0,5,113,3,220.0,110.0,23,0.12977821194537043,102,True,False
numerical,0,5,114,3,220.0,110.0,23,0.12848042982591673,102,True,False
numerical,0,5,115,3,200.0,110.0,23,0.12719562552765756,102,True,False
numerical,0,5,116,3,200.0,110.0,23,0.125923669272381,102,True,False
numerical,0,5,117,3,180.0,110.0,21,0.12466443257965719,102,True,False
numerical,0,5,118,3,240.0,110.0,25,0.12341778825386061,102,True,False
numerical,0,5,119,3,260.0,110.0,33,0.12218361037132201,102,True,False
numerical,0,5,120,3,180.0,110.0,17,0.12096177426760879,102,True,False
numerical,0,5,121,3,240.0,110.0,25,0.1197521565249327,102,True,False
numerical,0,5,122,3,180.0,110.0,17,0.11855463495968338,102,True,False
numerical,0,5,123,3,180.0,110.0,21,0.11736908861008655,102,True,False
numerical,0,5,124,3,240.0,110.0,23,0.11619539772398568,102,True,False
numerical,0,5,125,3,180.0,110.0,19,0.11503344374674583,102,True,False
numerical,0,5,126,3,240.0,110.0,29,0.11388310930927838,102,True,True
