episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,36950,0.38049129417001787,3277,-20.58,0.017,0.983
2000,73289,0.36193406234793696,4302,20.34,0.138,0.862
3000,107461,0.3442818994674461,4756,76.64,0.378,0.622
4000,140836,0.32749066371920244,4924,110.72,0.527,0.473
5000,172171,0.3115183661677936,5015,116.7,0.541,0.459
6000,203601,0.2963250657522844,5069,134.01,0.609,0.391
7000,234116,0.2818727694077567,5109,132.09,0.621,0.379
8000,264591,0.26812533705811153,5162,138.74,0.637,0.363
9000,294702,0.2550483912425324,5180,141.9,0.652,0.348
10000,324925,0.24260923114963107,5195,152.84,0.697,0.303
11000,354494,0.2307767508442905,5200,152.36,0.693,0.307
12000,383691,0.21952136148273962,5213,153.2,0.695,0.305
13000,413182,0.20881491732132998,5224,162.33,0.743,0.257
14000,442422,0.198630645333996,5233,169.88,0.773,0.227
15000,471646,0.18894307826239523,5242,169.37,0.755,0.245
16000,500318,0.1797279909313141,5257,172.6,0.774,0.226
17000,529478,0.17096233967008276,5258,181.64,0.806,0.194
18000,558127,0.16262420468850974,5259,181.43,0.816,0.184
19000,586511,0.15469273526325256,5259,179.44,0.807,0.193
20000,614987,0.14714809759753764,5260,185.9,0.829,0.171
21000,643676,0.13997142522385816,5262,191.82,0.845,0.155
22000,672072,0.13314477182561918,5262,193.21,0.871,0.129
23000,700045,0.12665106635975368,5262,191.02,0.854,0.146
24000,728555,0.12047407036808883,5263,194.68,0.87,0.13
25000,756487,0.11459833737070983,5264,197.43,0.877,0.123
