step,action,reward,episode_return,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,corridor,hover,controlled_descent,target_zone,safe_landing_angle,both_contact,successful_landing,successful_protocol,task_failed,monitor_progress,monitor_state
11,1,-1.8993951717337143,6.235827305960025,-0.036211300641298294,1.275254487991333,-0.28979048132896423,-0.6490151286125183,-0.043933190405368805,-0.10597114264965057,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
12,2,2.590025098906165,8.82585240486619,-0.039191532880067825,1.2611898183822632,-0.292367547750473,-0.6252742409706116,-0.049525290727615356,-0.11185209453105927,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
13,2,3.93239737878518,12.758249783651369,-0.042101193219423294,1.2479138374328613,-0.28543251752853394,-0.590232253074646,-0.05500094220042229,-0.10952307283878326,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
14,2,0.625683896457599,13.383933680108967,-0.04512824863195419,1.2348239421844482,-0.2964904010295868,-0.5820122361183167,-0.06116541102528572,-0.1233004480600357,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
15,2,0.5302172175863518,13.914150897695318,-0.04829292371869087,1.2219524383544922,-0.309426486492157,-0.5723689198493958,-0.06813140958547592,-0.13933269679546356,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
16,2,1.555014066418363,15.46916496411368,-0.051360320299863815,1.2092921733856201,-0.29999610781669617,-0.5630061030387878,-0.0748148187994957,-0.13367991149425507,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
17,2,4.903352879972869,20.37251784408655,-0.054175376892089844,1.197518229484558,-0.2756050229072571,-0.5235924124717712,-0.08066683262586594,-0.11705102026462555,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
18,2,1.7190938424174476,22.091611686503995,-0.05679263919591904,1.1858735084533691,-0.2565779387950897,-0.5178233981132507,-0.08578050881624222,-0.1022823303937912,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
19,2,3.2627915757689268,25.35440326227292,-0.059288788586854935,1.174839973449707,-0.24469931423664093,-0.49066904187202454,-0.09065359085798264,-0.09747019410133362,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
20,2,1.6066562699733253,26.961059532246246,-0.0617029182612896,1.1640470027923584,-0.23664990067481995,-0.47999194264411926,-0.09538256376981735,-0.09458811581134796,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
