step,x,y,monitor_progress,phase,phase_label,hover_count_display
1,-0.0065591810271143,1.394311547279358,1.0,1,Hover entry,0
2,-0.0097420690581202,1.3851203918457031,1.0,2,Hover count,1
3,-0.0128273963928222,1.3753201961517334,1.0,2,Hover count,1
4,-0.0158517844974994,1.364915370941162,1.0,2,Hover count,1
5,-0.0187908168882131,1.353907823562622,1.0,2,Hover count,1
6,-0.0216370578855276,1.342297077178955,1.0,2,Hover count,1
7,-0.0245670322328805,1.3300800323486328,1.0,2,Hover count,1
8,-0.0274349208921194,1.3172656297683716,1.0,2,Hover count,1
9,-0.0303821563720703,1.3038582801818848,1.0,2,Hover count,1
10,-0.0332598686218261,1.2898540496826172,1.0,2,Hover count,1
11,-0.0362113006412982,1.275254487991333,1.0,2,Hover count,1
12,-0.0391915328800678,1.2611898183822632,1.0,2,Hover count,1
13,-0.0421011932194232,1.247913837432861,1.0,2,Hover count,1
14,-0.0451282486319541,1.2348239421844482,1.0,2,Hover count,1
15,-0.0482929237186908,1.2219524383544922,1.0,2,Hover count,1
16,-0.0513603202998638,1.20929217338562,1.0,2,Hover count,1
17,-0.0541753768920898,1.197518229484558,1.0,2,Hover count,1
18,-0.056792639195919,1.1858735084533691,1.0,2,Hover count,1
19,-0.0592887885868549,1.174839973449707,1.0,2,Hover count,1
20,-0.0617029182612896,1.1640470027923584,1.0,2,Hover count,1
21,-0.0639152526855468,1.1535491943359375,1.0,2,Hover count,1
22,-0.066065214574337,1.1434237957000732,1.0,2,Hover count,1
23,-0.0681023597717285,1.1336318254470823,1.0,2,Hover count,1
24,-0.0699227303266525,1.1244313716888428,1.0,2,Hover count,1
25,-0.0715986266732215,1.1151340007781982,1.0,2,Hover count,1
26,-0.073269173502922,1.1058484315872192,1.0,2,Hover count,1
27,-0.074798010289669,1.097483515739441,1.0,2,Hover count,1
28,-0.0763893127441406,1.0893592834472656,1.0,2,Hover count,1
29,-0.0777380019426345,1.0816078186035156,1.0,2,Hover count,1
30,-0.0790950804948806,1.07404363155365,1.0,2,Hover count,1
31,-0.0803314223885536,1.0666515827178955,1.0,2,Hover count,1
32,-0.0814470276236534,1.0594426393508911,1.0,2,Hover count,1
33,-0.0823798179626464,1.0525881052017212,1.0,2,Hover count,1
34,-0.0831730812788009,1.0456873178482056,1.0,2,Hover count,1
35,-0.0839270576834678,1.0391720533370972,1.0,2,Hover count,1
36,-0.0845813751220703,1.0333057641983032,1.0,2,Hover count,1
37,-0.0850191116333007,1.0275928974151611,1.0,2,Hover count,1
38,-0.085237979888916,1.0227537155151367,1.0,2,Hover count,1
39,-0.0853561386466026,1.0180234909057615,1.0,2,Hover count,1
40,-0.0853103622794151,1.0135598182678225,1.0,2,Hover count,1
41,-0.0853051170706749,1.009524703025818,1.0,2,Hover count,1
42,-0.0851525291800499,1.006085991859436,1.0,2,Hover count,1
43,-0.0848803520202636,1.003183364868164,1.0,2,Hover count,1
44,-0.0846268683671951,1.0008225440979004,1.0,2,Hover count,1
45,-0.084446907043457,0.9978880286216736,1.0,2,Hover count,1
46,-0.0840252861380577,0.995405375957489,1.0,2,Hover count,2
47,-0.0836502090096473,0.9934284090995787,3.0,3,Controlled descent,2
48,-0.0832752212882042,0.9908512234687804,3.0,3,Controlled descent,2
49,-0.0829002410173416,0.9876741766929626,3.0,3,Controlled descent,2
50,-0.0825252532958984,0.9838972091674804,3.0,3,Controlled descent,2
51,-0.0821502655744552,0.97952002286911,3.0,3,Controlled descent,2
52,-0.0817751884460449,0.9745429754257202,3.0,3,Controlled descent,2
53,-0.0814002007246017,0.9689659476280212,3.0,3,Controlled descent,2
54,-0.0810252204537391,0.9627888798713684,3.0,3,Controlled descent,2
55,-0.0806502327322959,0.9560118317604064,3.0,3,Controlled descent,2
56,-0.0802752524614334,0.9486348032951356,3.0,3,Controlled descent,2
57,-0.0799001678824424,0.9406578540802002,3.0,3,Controlled descent,2
58,-0.0795251876115799,0.9320806860923768,3.0,3,Controlled descent,2
59,-0.0791501998901367,0.9229036569595336,3.0,3,Controlled descent,2
60,-0.0788480788469314,0.913140833377838,3.0,3,Controlled descent,2
61,-0.0785458534955978,0.9027780890464784,3.0,3,Controlled descent,2
62,-0.0783321410417556,0.8918283581733704,3.0,3,Controlled descent,2
63,-0.0782005339860916,0.8803004622459412,3.0,3,Controlled descent,2
64,-0.0780689269304275,0.8681731224060059,3.0,3,Controlled descent,2
65,-0.0779372230172157,0.855446457862854,3.0,3,Controlled descent,2
66,-0.0778783783316612,0.8421444296836853,3.0,3,Controlled descent,2
67,-0.0778196305036544,0.8282434344291687,3.0,3,Controlled descent,2
68,-0.0777608901262283,0.8137434720993042,3.0,3,Controlled descent,2
69,-0.0777802467346191,0.7986611723899841,3.0,3,Controlled descent,2
70,-0.0777106285095214,0.7829764485359192,3.0,3,Controlled descent,2
71,-0.0775515586137771,0.766673743724823,3.0,3,Controlled descent,2
72,-0.0774497985839843,0.7512379884719849,3.0,3,Controlled descent,2
73,-0.0772284492850303,0.7367268800735474,3.0,3,Controlled descent,2
74,-0.0769358649849891,0.7216096520423889,3.0,3,Controlled descent,2
75,-0.0765767097473144,0.7065895795822144,3.0,3,Controlled descent,2
76,-0.0762416869401931,0.6916397213935852,3.0,3,Controlled descent,2
77,-0.0757812485098838,0.6769201755523682,3.0,3,Controlled descent,2
78,-0.0752729400992393,0.6623343825340271,3.0,3,Controlled descent,2
79,-0.0748518928885459,0.648321270942688,3.0,3,Controlled descent,2
80,-0.0743381530046463,0.6351479887962341,3.0,3,Controlled descent,2
81,-0.0739813819527626,0.6220771074295044,3.0,3,Controlled descent,2
82,-0.0736930817365646,0.6097803711891174,3.0,3,Controlled descent,2
83,-0.0733216255903244,0.5968871712684631,4.0,4,Landing,2
84,-0.072950080037117,0.5833939909934998,4.0,4,Landing,2
85,-0.0724949836730957,0.5692864060401917,4.0,4,Landing,2
86,-0.0719509124755859,0.5545700192451477,4.0,4,Landing,2
87,-0.0715047866106033,0.5392623543739319,4.0,4,Landing,2
88,-0.0711357146501541,0.523350179195404,4.0,4,Landing,2
89,-0.0707255378365516,0.5079568028450012,4.0,4,Landing,2
90,-0.0702892318367958,0.4934062361717224,4.0,4,Landing,2
91,-0.0697775855660438,0.4782626926898956,4.0,4,Landing,2
92,-0.0693463310599327,0.4625162780284881,4.0,4,Landing,2
93,-0.0687262564897537,0.4473702311515808,4.0,4,Landing,2
94,-0.0679748505353927,0.4331688284873962,4.0,4,Landing,2
95,-0.0672022849321365,0.4195212423801422,4.0,4,Landing,2
96,-0.0663249045610427,0.4060159921646118,4.0,4,Landing,2
97,-0.0655211433768272,0.3934191465377807,4.0,4,Landing,2
98,-0.0648655891418457,0.3808899223804474,4.0,4,Landing,2
