episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,37065,0.38049129417001787,2926,-14.78,0.039,0.961
2000,70839,0.36193406234793696,3577,43.58,0.266,0.734
3000,103704,0.3442818994674461,3843,82.77,0.423,0.577
4000,136024,0.32749066371920244,3913,104.5,0.513,0.487
5000,166521,0.3115183661677936,3939,115.39,0.557,0.443
6000,197564,0.2963250657522844,3942,126.07,0.587,0.413
7000,228293,0.2818727694077567,3957,137.35,0.634,0.366
8000,259142,0.26812533705811153,3970,139.55,0.648,0.352
9000,290205,0.2550483912425324,3978,146.48,0.669,0.331
10000,321195,0.24260923114963107,3987,149.69,0.682,0.318
11000,351445,0.2307767508442905,4000,155.89,0.708,0.292
12000,381330,0.21952136148273962,4005,156.9,0.719,0.281
13000,411661,0.20881491732132998,4006,168.06,0.76,0.24
14000,441362,0.198630645333996,4007,166.71,0.759,0.241
15000,470828,0.18894307826239523,4009,172.47,0.788,0.212
16000,501109,0.1797279909313141,4016,176.83,0.789,0.211
17000,530389,0.17096233967008276,4017,180.79,0.802,0.198
18000,559134,0.16262420468850974,4017,177.84,0.797,0.203
19000,588355,0.15469273526325256,4017,182.19,0.814,0.186
20000,617453,0.14714809759753764,4017,188.31,0.835,0.165
21000,646657,0.13997142522385816,4017,190.86,0.85,0.15
22000,675254,0.13314477182561918,4017,190.19,0.858,0.142
23000,703974,0.12665106635975368,4024,192.63,0.853,0.147
24000,732605,0.12047407036808883,4024,196.05,0.868,0.132
25000,760601,0.11459833737070983,4026,193.92,0.86,0.14
