encoding,iteration,n_value,episode,seed,total_reward,final_reward,steps,epsilon,q_state_count,success,converged
one_hot,0,5,1,2,-40.0,-40.0,42,0.4,15,False,False
one_hot,0,5,2,2,-40.0,-40.0,7,0.396,17,False,False
one_hot,0,5,3,2,-40.0,-40.0,31,0.39204,22,False,False
one_hot,0,5,4,2,-40.0,-40.0,49,0.3881196,25,False,False
one_hot,0,5,5,2,-40.0,-40.0,21,0.384238404,25,False,False
one_hot,0,5,6,2,-40.0,-40.0,24,0.38039601996,26,False,False
one_hot,0,5,7,2,-10.0,-40.0,62,0.3765920597604,40,False,False
one_hot,0,5,8,2,-40.0,-40.0,58,0.372826139162796,42,False,False
one_hot,0,5,9,2,-40.0,-40.0,29,0.36909787777116804,43,False,False
one_hot,0,5,10,2,-10.0,-40.0,187,0.36540689899345635,45,False,False
one_hot,0,5,11,2,-40.0,-40.0,21,0.36175283000352176,45,False,False
one_hot,0,5,12,2,-10.0,-40.0,33,0.35813530170348656,49,False,False
one_hot,0,5,13,2,-40.0,-40.0,19,0.3545539486864517,49,False,False
one_hot,0,5,14,2,-10.0,-40.0,36,0.35100840919958715,52,False,False
one_hot,0,5,15,2,-10.0,-40.0,99,0.34749832510759127,69,False,False
one_hot,0,5,16,2,-10.0,-40.0,80,0.34402334185651534,74,False,False
one_hot,0,5,17,2,-10.0,-40.0,30,0.3405831084379502,74,False,False
one_hot,0,5,18,2,-10.0,-40.0,29,0.33717727735357067,75,False,False
one_hot,0,5,19,2,-10.0,-40.0,16,0.33380550458003494,75,False,False
one_hot,0,5,20,2,-40.0,-40.0,9,0.33046744953423457,75,False,False
one_hot,0,5,21,2,10.0,-40.0,93,0.32716277503889224,78,False,False
one_hot,0,5,22,2,-10.0,-40.0,52,0.3238911472885033,78,False,False
one_hot,0,5,23,2,10.0,-40.0,33,0.3206522358156183,79,False,False
one_hot,0,5,24,2,160.0,110.0,108,0.31744571345746214,95,True,False
one_hot,0,5,25,2,-10.0,-40.0,16,0.3142712563228875,95,False,False
one_hot,0,5,26,2,-10.0,-40.0,16,0.3111285437596586,95,False,False
one_hot,0,5,27,2,-40.0,-40.0,5,0.308017258322062,95,False,False
one_hot,0,5,28,2,-10.0,-40.0,19,0.3049370857388414,95,False,False
one_hot,0,5,29,2,240.0,110.0,104,0.30188771488145294,100,True,False
one_hot,0,5,30,2,-10.0,-40.0,19,0.2988688377326384,101,False,False
one_hot,0,5,31,2,10.0,-40.0,53,0.295880149355312,101,False,False
one_hot,0,5,32,2,50.0,-40.0,55,0.2929213478617589,106,False,False
one_hot,0,5,33,2,-40.0,-40.0,7,0.2899921343831413,106,False,False
one_hot,0,5,34,2,10.0,-40.0,26,0.2870922130393099,107,False,False
one_hot,0,5,35,2,-10.0,-40.0,18,0.2842212909089168,108,False,False
one_hot,0,5,36,2,10.0,-40.0,33,0.28137907799982764,108,False,False
one_hot,0,5,37,2,-10.0,-40.0,12,0.27856528721982937,108,False,False
one_hot,0,5,38,2,180.0,110.0,40,0.2757796343476311,110,True,False
one_hot,0,5,39,2,160.0,110.0,41,0.27302183800415475,110,True,False
one_hot,0,5,40,2,10.0,-40.0,23,0.2702916196241132,110,False,False
one_hot,0,5,41,2,180.0,110.0,45,0.26758870342787205,110,True,False
one_hot,0,5,42,2,180.0,110.0,31,0.2649128163935933,110,True,False
one_hot,0,5,43,2,200.0,110.0,25,0.2622636882296574,110,True,False
one_hot,0,5,44,2,200.0,110.0,37,0.2596410513473608,110,True,False
one_hot,0,5,45,2,220.0,110.0,51,0.25704464083388723,110,True,False
one_hot,0,5,46,2,240.0,110.0,50,0.25447419442554836,111,True,False
one_hot,0,5,47,2,240.0,110.0,111,0.2519294524812929,113,True,False
one_hot,0,5,48,2,220.0,110.0,27,0.24941015795647997,113,True,False
one_hot,0,5,49,2,240.0,110.0,40,0.24691605637691516,114,True,False
one_hot,0,5,50,2,180.0,110.0,30,0.24444689581314602,115,True,False
one_hot,0,5,51,2,240.0,110.0,61,0.24200242685501455,115,True,False
one_hot,0,5,52,2,240.0,110.0,33,0.2395824025864644,115,True,False
one_hot,0,5,53,2,180.0,110.0,37,0.23718657856059977,115,True,False
one_hot,0,5,54,2,-40.0,-40.0,15,0.23481471277499377,115,False,False
one_hot,0,5,55,2,200.0,110.0,57,0.23246656564724383,115,True,False
one_hot,0,5,56,2,-10.0,-40.0,19,0.2301418999907714,115,False,False
one_hot,0,5,57,2,220.0,110.0,35,0.22784048099086368,115,True,False
one_hot,0,5,58,2,-10.0,-40.0,16,0.22556207618095503,115,False,False
one_hot,0,5,59,2,200.0,110.0,37,0.22330645541914548,115,True,False
one_hot,0,5,60,2,160.0,110.0,28,0.22107339086495403,115,True,False
one_hot,0,5,61,2,240.0,110.0,63,0.2188626569563045,115,True,False
one_hot,0,5,62,2,-10.0,-40.0,14,0.21667403038674146,115,False,False
one_hot,0,5,63,2,200.0,110.0,33,0.21450729008287406,116,True,False
one_hot,0,5,64,2,240.0,110.0,41,0.21236221718204532,116,True,False
one_hot,0,5,65,2,-40.0,-40.0,5,0.21023859501022485,116,False,False
one_hot,0,5,66,2,10.0,-40.0,24,0.2081362090601226,116,False,False
one_hot,0,5,67,2,200.0,110.0,27,0.20605484696952137,116,True,False
one_hot,0,5,68,2,-40.0,-40.0,7,0.20399429849982614,116,False,False
one_hot,0,5,69,2,200.0,110.0,28,0.20195435551482788,116,True,False
one_hot,0,5,70,2,70.0,-40.0,43,0.1999348119596796,116,False,False
one_hot,0,5,71,2,200.0,110.0,39,0.19793546384008281,116,True,False
one_hot,0,5,72,2,200.0,110.0,43,0.195956109201682,116,True,False
one_hot,0,5,73,2,10.0,-40.0,19,0.19399654810966518,116,False,False
one_hot,0,5,74,2,200.0,110.0,44,0.19205658262856853,116,True,False
one_hot,0,5,75,2,220.0,110.0,31,0.19013601680228284,116,True,False
one_hot,0,5,76,2,200.0,110.0,35,0.18823465663426,116,True,False
one_hot,0,5,77,2,200.0,110.0,30,0.18635231006791741,116,True,False
one_hot,0,5,78,2,240.0,110.0,51,0.18448878696723825,116,True,False
one_hot,0,5,79,2,180.0,110.0,25,0.18264389909756587,116,True,False
one_hot,0,5,80,2,200.0,110.0,34,0.18081746010659022,116,True,False
one_hot,0,5,81,2,200.0,110.0,29,0.1790092855055243,116,True,False
one_hot,0,5,82,2,240.0,110.0,46,0.17721919265046907,116,True,False
one_hot,0,5,83,2,-10.0,-40.0,20,0.17544700072396438,116,False,False
one_hot,0,5,84,2,220.0,110.0,42,0.17369253071672475,116,True,False
one_hot,0,5,85,2,160.0,110.0,36,0.1719556054095575,116,True,False
one_hot,0,5,86,2,240.0,110.0,39,0.17023604935546194,116,True,False
one_hot,0,5,87,2,200.0,110.0,30,0.1685336888619073,116,True,False
one_hot,0,5,88,2,200.0,110.0,31,0.16684835197328823,116,True,False
one_hot,0,5,89,2,160.0,110.0,23,0.16517986845355534,116,True,False
one_hot,0,5,90,2,220.0,110.0,30,0.1635280697690198,116,True,False
one_hot,0,5,91,2,220.0,110.0,33,0.1618927890713296,116,True,False
one_hot,0,5,92,2,180.0,110.0,35,0.1602738611806163,116,True,False
one_hot,0,5,93,2,220.0,110.0,44,0.15867112256881014,117,True,False
one_hot,0,5,94,2,200.0,110.0,33,0.15708441134312204,117,True,False
one_hot,0,5,95,2,160.0,110.0,25,0.1555135672296908,117,True,False
one_hot,0,5,96,2,180.0,110.0,25,0.15395843155739392,117,True,False
one_hot,0,5,97,2,10.0,-40.0,17,0.15241884724181998,117,False,False
one_hot,0,5,98,2,160.0,110.0,26,0.15089465876940178,117,True,False
one_hot,0,5,99,2,200.0,110.0,43,0.14938571218170776,117,True,False
one_hot,0,5,100,2,160.0,110.0,29,0.1478918550598907,117,True,False
one_hot,0,5,101,2,200.0,110.0,37,0.1464129365092918,117,True,False
one_hot,0,5,102,2,220.0,110.0,36,0.1449488071441989,117,True,False
one_hot,0,5,103,2,200.0,110.0,33,0.1434993190727569,117,True,False
one_hot,0,5,104,2,200.0,110.0,39,0.14206432588202933,117,True,False
one_hot,0,5,105,2,-10.0,-40.0,10,0.14064368262320903,117,False,False
one_hot,0,5,106,2,240.0,110.0,35,0.13923724579697694,117,True,False
one_hot,0,5,107,2,180.0,110.0,31,0.13784487333900716,117,True,False
one_hot,0,5,108,2,240.0,110.0,44,0.1364664246056171,117,True,False
one_hot,0,5,109,2,200.0,110.0,32,0.13510176035956092,117,True,False
one_hot,0,5,110,2,180.0,110.0,25,0.13375074275596532,117,True,False
one_hot,0,5,111,2,220.0,110.0,29,0.13241323532840568,117,True,False
one_hot,0,5,112,2,-40.0,-40.0,5,0.13108910297512164,117,False,False
one_hot,0,5,113,2,220.0,110.0,33,0.12977821194537043,117,True,False
one_hot,0,5,114,2,200.0,110.0,42,0.12848042982591673,117,True,False
one_hot,0,5,115,2,160.0,110.0,38,0.12719562552765756,117,True,False
one_hot,0,5,116,2,220.0,110.0,43,0.125923669272381,117,True,False
one_hot,0,5,117,2,220.0,110.0,41,0.12466443257965719,117,True,False
one_hot,0,5,118,2,200.0,110.0,32,0.12341778825386061,117,True,False
one_hot,0,5,119,2,180.0,110.0,32,0.12218361037132201,117,True,False
one_hot,0,5,120,2,160.0,110.0,33,0.12096177426760879,117,True,False
one_hot,0,5,121,2,240.0,110.0,39,0.1197521565249327,117,True,False
one_hot,0,5,122,2,-10.0,-40.0,12,0.11855463495968338,117,False,False
one_hot,0,5,123,2,200.0,110.0,39,0.11736908861008655,117,True,False
one_hot,0,5,124,2,160.0,110.0,30,0.11619539772398568,117,True,False
one_hot,0,5,125,2,10.0,-40.0,17,0.11503344374674583,117,False,False
one_hot,0,5,126,2,220.0,110.0,29,0.11388310930927838,117,True,False
one_hot,0,5,127,2,160.0,110.0,27,0.11274427821618559,117,True,False
one_hot,0,5,128,2,160.0,110.0,27,0.11161683543402373,117,True,False
one_hot,0,5,129,2,160.0,110.0,25,0.11050066707968349,117,True,False
one_hot,0,5,130,2,160.0,110.0,25,0.10939566040888665,117,True,False
one_hot,0,5,131,2,240.0,110.0,33,0.10830170380479778,117,True,False
one_hot,0,5,132,2,240.0,110.0,39,0.10721868676674981,117,True,False
one_hot,0,5,133,2,180.0,110.0,41,0.10614649989908231,117,True,False
one_hot,0,5,134,2,160.0,110.0,25,0.1050850349000915,117,True,False
one_hot,0,5,135,2,180.0,110.0,29,0.10403418455109058,117,True,False
one_hot,0,5,136,2,200.0,110.0,37,0.10299384270557967,117,True,False
one_hot,0,5,137,2,200.0,110.0,35,0.10196390427852386,117,True,False
one_hot,0,5,138,2,-10.0,-40.0,14,0.10094426523573863,117,False,False
one_hot,0,5,139,2,220.0,110.0,33,0.09993482258338124,117,True,False
one_hot,0,5,140,2,-40.0,-40.0,5,0.09893547435754743,117,False,False
one_hot,0,5,141,2,220.0,110.0,31,0.09794611961397195,117,True,False
one_hot,0,5,142,2,200.0,110.0,31,0.09696665841783224,117,True,False
one_hot,0,5,143,2,10.0,-40.0,17,0.09599699183365391,117,False,False
one_hot,0,5,144,2,240.0,110.0,49,0.09503702191531738,117,True,False
one_hot,0,5,145,2,240.0,110.0,47,0.0940866516961642,117,True,False
one_hot,0,5,146,2,220.0,110.0,39,0.09314578517920256,117,True,False
one_hot,0,5,147,2,160.0,110.0,19,0.09221432732741054,117,True,False
one_hot,0,5,148,2,-10.0,-40.0,12,0.09129218405413643,117,False,False
one_hot,0,5,149,2,240.0,110.0,40,0.09037926221359506,117,True,False
one_hot,0,5,150,2,220.0,110.0,31,0.0894754695914591,117,True,False
one_hot,0,5,151,2,160.0,110.0,27,0.08858071489554452,117,True,False
one_hot,0,5,152,2,200.0,110.0,31,0.08769490774658907,117,True,False
one_hot,0,5,153,2,200.0,110.0,37,0.08681795866912317,117,True,False
one_hot,0,5,154,2,240.0,110.0,39,0.08594977908243194,117,True,False
one_hot,0,5,155,2,200.0,110.0,35,0.08509028129160762,117,True,False
one_hot,0,5,156,2,180.0,110.0,29,0.08423937847869153,117,True,False
one_hot,0,5,157,2,160.0,110.0,23,0.08339698469390462,117,True,False
one_hot,0,5,158,2,220.0,110.0,27,0.08256301484696557,117,True,False
one_hot,0,5,159,2,240.0,110.0,27,0.08173738469849591,117,True,False
one_hot,0,5,160,2,200.0,110.0,25,0.08092001085151095,117,True,False
one_hot,0,5,161,2,160.0,110.0,27,0.08011081074299584,117,True,False
one_hot,0,5,162,2,160.0,110.0,21,0.07930970263556587,117,True,False
one_hot,0,5,163,2,220.0,110.0,27,0.07851660560921021,117,True,False
one_hot,0,5,164,2,180.0,110.0,23,0.0777314395531181,117,True,False
one_hot,0,5,165,2,200.0,110.0,33,0.07695412515758693,117,True,False
one_hot,0,5,166,2,240.0,110.0,29,0.07618458390601106,117,True,False
one_hot,0,5,167,2,180.0,110.0,27,0.07542273806695095,117,True,False
one_hot,0,5,168,2,220.0,110.0,29,0.07466851068628144,117,True,True
