step,reactor_concentration,target_concentration,reactor_temperature,coolant_action_normalized,coolant_temperature,reward,base_reward,rml_reward,tracking_error,temperature_violation,cumulative_temperature_violation,heating_rate,in_soak_band,overshoot,heating_rate_exceeded,past_deadline,deadline_expired,stable_step,warning_events,critical_failure,max_stable_steps,first_stable_step,monitor_phase,rml_monitor_state_normalized,rml_monitor_state_unencoded_normalized,monitor_soak_steps,monitor_violation_steps,monitor_success,monitor_failed,terminated,truncated
0,0.8,0.5,331.0,nan,302.5,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
1,0.8001640767807501,0.5,331.80136905173936,0.3140576481819153,310.5,-0.44511150261428467,-0.44511150261428467,0.0,0.3001640767807501,0.0,0.0,0.801369051739357,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
2,0.7995114270619201,0.5,333.04702531942144,0.2919485867023468,314.59742933511734,-0.44666732237838735,-0.44666732237838735,0.0,0.29951142706192013,0.0,0.0,1.2456562676820795,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
3,0.7979150814521063,0.5,334.1111422931952,0.2514069080352783,312.5703454017639,-0.4188931230320546,-0.4188931230320546,0.0,0.2979150814521063,0.0,0.0,1.0641169737737641,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
4,0.7955146163461005,0.5,335.0162064907108,0.21397005021572113,310.69850251078606,-0.3954058020070478,-0.3954058020070478,0.0,0.29551461634610054,0.0,0.0,0.9050641975155713,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
5,0.7924436191066468,0.5,335.7963695344802,0.18273289501667023,309.1366447508335,-0.3759719219967068,-0.3759719219967068,0.0,0.29244361910664685,0.0,0.0,0.7801630437694484,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
6,0.7888189992574244,0.5,336.4778117959569,0.15664562582969666,307.83228129148483,-0.3595112487351476,-0.3595112487351476,0.0,0.2888189992574244,0.0,0.0,0.6814422614766613,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
7,0.7847416960554848,0.5,337.08028634105415,0.13473714888095856,306.7368574440479,-0.345243602556215,-0.345243602556215,0.0,0.2847416960554848,0.0,0.0,0.602474545097266,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
8,0.7802983239044632,0.5,337.6188012743142,0.11622869223356247,305.8114346116781,-0.3326216972866808,-0.3326216972866808,0.0,0.2802983239044632,0.0,0.0,0.5385149332600463,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
9,0.775562969372227,0.5,338.1048599605305,0.10050182789564133,305.02509139478207,-0.3212588939833383,-0.3212588939833383,0.0,0.275562969372227,0.0,0.0,0.48605868621632453,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
10,0.7705989180102272,0.5,338.5473574941258,0.0870649665594101,304.3532483279705,-0.3108792507942225,-0.3108792507942225,0.0,0.2705989180102272,0.0,0.0,0.4424975335952581,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
11,0.7654602184036807,0.5,338.95323398605507,0.07552650570869446,303.7763252854347,-0.30128372594329705,-0.30128372594329705,0.0,0.2654602184036807,0.0,0.0,0.4058764919292912,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
12,0.7601930535225505,0.5,339.3279495309722,0.06557261943817139,303.27863097190857,-0.2923271680066838,-0.2923271680066838,0.0,0.2601930535225505,0.0,0.0,0.3747155449171373,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
13,0.754836920815565,0.5,339.6758359792536,0.05695081502199173,302.8475407510996,-0.28390261838481334,-0.28390261838481334,0.0,0.25483692081556497,0.0,0.0,0.34788644828137194,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
14,0.7494256363395245,0.5,340.0003560757914,0.0494563952088356,302.4728197604418,-0.2759304445464177,-0.2759304445464177,0.0,0.24942563633952453,0.0,0.0,0.32452009653781033,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
15,0.7439881837794314,0.5,340.304299474259,0.042922765016555786,302.1461382508278,-0.2683507816541642,-0.2683507816541642,0.0,0.24398818377943143,0.0,0.0,0.3039433984675952,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
16,0.7385494294446541,0.5,340.58992935982513,0.03721325844526291,301.86066292226315,-0.261118187627007,-0.261118187627007,0.0,0.23854942944465407,0.0,0.0,0.2856298855661521,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
17,0.7331307238118719,0.5,340.8590951550277,0.032215267419815063,301.61076337099075,-0.2541978463079853,-0.2541978463079853,0.0,0.23313072381187194,0.0,0.0,0.2691657952025821,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
18,0.7277504069922847,0.5,341.11331881643457,0.02783540077507496,301.39177003875375,-0.2475628260177783,-0.2475628260177783,0.0,0.22775040699228466,0.0,0.0,0.25422366140685426,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
19,0.7224242336507868,0.5,341.35386203546034,0.023995812982320786,301.19979064911604,-0.24119208581382956,-0.24119208581382956,0.0,0.22242423365078678,0.0,0.0,0.24054321902576703,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
20,0.7171657305984633,0.5,341.5817782904226,0.02063116244971752,301.0315581224859,-0.23506901337490568,-0.23506901337490568,0.0,0.21716573059846334,0.0,0.0,0.22791625496228107,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
21,0.711986497804689,0.5,341.7979547111421,0.017686448991298676,300.88432244956493,-0.22918033347417396,-0.22918033347417396,0.0,0.21198649780468903,0.0,0.0,0.21617642071947785,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
22,0.7068964621350703,0.5,342.0031442921815,0.015114929527044296,300.7557464763522,-0.22351529723211636,-0.22351529723211636,0.0,0.2068964621350703,0.0,0.0,0.20518958103940577,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
23,0.7019040920746631,0.5,342.197991887444,0.01287669874727726,300.64383493736386,-0.21806507241098555,-0.21806507241098555,0.0,0.2019040920746631,0.0,0.0,0.19484759526250173,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
24,0.6970165788790916,0.5,342.38305604831544,0.010937655344605446,300.5468827672303,-0.21282226486703293,-0.21282226486703293,0.0,0.19701657887909163,0.0,0.0,0.18506416087143407,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
25,0.6922399901995,0.5,342.558824818636,0.0092681385576725,300.4634069278836,-0.2077805720163717,-0.2077805720163717,0.0,0.1922399901995,0.0,0.0,0.17576877032058746,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
26,0.6875794007284284,0.5,342.7257303642127,0.007842520251870155,300.3921260125935,-0.20293449746297387,-0.20293449746297387,0.0,0.18757940072842838,0.0,0.0,0.16690554557669657,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
27,0.6830390032908076,0.5,342.8841593352354,0.006638219580054283,300.3319109790027,-0.1982791445964696,-0.1982791445964696,0.0,0.18303900329080758,0.0,0.0,0.15842897102265852,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
28,0.6786222038169116,0.5,343.03446260469843,0.005635442212224007,300.2817721106112,-0.19381004194244297,-0.19381004194244297,0.0,0.17862220381691163,0.0,0.0,0.15030326946305195,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
29,0.6743317028574235,0.5,343.17696178763606,0.004816444590687752,300.2408222295344,-0.18952302368341845,-0.18952302368341845,0.0,0.1743317028574235,0.0,0.0,0.14249918293762676,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
