step,reactor_concentration,target_concentration,reactor_temperature,coolant_action_normalized,coolant_temperature,reward,base_reward,rml_reward,tracking_error,temperature_violation,cumulative_temperature_violation,heating_rate,in_soak_band,overshoot,heating_rate_exceeded,past_deadline,deadline_expired,stable_step,warning_events,critical_failure,max_stable_steps,first_stable_step,monitor_phase,rml_monitor_state_normalized,rml_monitor_state_unencoded_normalized,monitor_soak_steps,monitor_violation_steps,monitor_success,monitor_failed,terminated,truncated
0,0.8,0.5,331.0,nan,302.5,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,False,False,False,False,False,False,0,False,0,-1,preheat,<initial>,Preheat,0,0,False,False,False,False
1,0.8007757090394487,0.5,330.12466109622704,-1.0,294.5,-1.6445950503781552,-0.4545679380763187,-1.1900271123018364,0.3007757090394487,0.0,0.0,-0.8753389037729562,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
2,0.8023790758227868,0.5,328.4254530901003,-1.0,286.5,-1.8372214943518657,-0.511257741559889,-1.3259637527919768,0.3023790758227868,0.0,0.0,-1.699208006126753,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
3,0.8051474020199882,0.5,325.94578730327754,-1.0,278.5,-2.130173907198628,-0.6058368914608311,-1.5243370157377967,0.30514740201998825,0.0,0.0,-2.47966578682275,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
4,0.809184114362627,0.5,322.7661279536561,-1.0,270.5,-2.5158599015839833,-0.7371501378764719,-1.7787097637075113,0.30918411436262705,0.0,0.0,-3.1796593496214314,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
5,0.8143837147397239,0.5,318.99587259357565,-1.0,262.5,-2.9838339609801747,-0.9035037684662272,-2.0803301925139475,0.31438371473972393,0.0,0.0,-3.770255360080455,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
6,0.820505947747469,0.5,314.7564180297776,-1.0,254.5,-51.10295670342707,-1.1029567034270706,-50.0,0.320505947747469,0.24358197022240802,0.24358197022240802,-4.239454563798063,False,False,False,False,False,False,0,False,0,-1,failure,failure,failure,0,0,False,True,True,False
