encoding,iteration,n_value,episode,seed,total_reward,final_reward,steps,epsilon,q_state_count,success,converged
simple,0,5,75,0,60.0,0.0,200,0.19013601680228284,308,False,False
simple,0,5,76,0,20.0,-40.0,52,0.18823465663426,308,False,False
simple,0,5,77,0,0.0,-40.0,12,0.18635231006791741,308,False,False
simple,0,5,78,0,20.0,-40.0,46,0.18448878696723825,309,False,False
simple,0,5,79,0,40.0,-40.0,50,0.18264389909756587,317,False,False
simple,0,5,80,0,0.0,-40.0,14,0.18081746010659022,320,False,False
simple,0,5,81,0,230.0,110.0,72,0.1790092855055243,321,True,False
simple,0,5,82,0,0.0,-40.0,12,0.17721919265046907,322,False,False
simple,0,5,83,0,20.0,-40.0,159,0.17544700072396438,324,False,False
simple,0,5,84,0,0.0,-40.0,10,0.17369253071672475,324,False,False
simple,0,5,85,0,20.0,-40.0,28,0.1719556054095575,324,False,False
simple,0,5,86,0,-40.0,-40.0,3,0.17023604935546194,324,False,False
simple,0,5,87,0,-20.0,-40.0,26,0.1685336888619073,324,False,False
simple,0,5,88,0,20.0,-40.0,126,0.16684835197328823,327,False,False
simple,0,5,89,0,60.0,-40.0,47,0.16517986845355534,330,False,False
simple,0,5,90,0,20.0,-40.0,106,0.1635280697690198,339,False,False
simple,0,5,91,0,20.0,-40.0,109,0.1618927890713296,339,False,False
simple,0,5,92,0,20.0,-40.0,23,0.1602738611806163,339,False,False
simple,0,5,93,0,20.0,-40.0,62,0.15867112256881014,339,False,False
simple,0,5,94,0,20.0,-40.0,95,0.15708441134312204,339,False,False
simple,0,5,95,0,230.0,110.0,53,0.1555135672296908,341,True,False
simple,0,5,96,0,60.0,-40.0,47,0.15395843155739392,341,False,False
simple,0,5,97,0,170.0,110.0,21,0.15241884724181998,342,True,False
simple,0,5,98,0,170.0,110.0,42,0.15089465876940178,343,True,False
simple,0,5,99,0,20.0,-40.0,20,0.14938571218170776,343,False,False
simple,0,5,100,0,20.0,-40.0,157,0.1478918550598907,345,False,False
simple,0,5,101,0,-20.0,-40.0,34,0.1464129365092918,345,False,False
simple,0,5,102,0,230.0,110.0,52,0.1449488071441989,346,True,False
simple,0,5,103,0,190.0,110.0,118,0.1434993190727569,347,True,False
simple,0,5,104,0,190.0,110.0,82,0.14206432588202933,348,True,False
simple,0,5,105,0,230.0,110.0,40,0.14064368262320903,348,True,False
simple,0,5,106,0,100.0,-40.0,195,0.13923724579697694,351,False,False
simple,0,5,107,0,170.0,110.0,19,0.13784487333900716,351,True,False
simple,0,5,108,0,170.0,110.0,33,0.1364664246056171,351,True,False
simple,0,5,109,0,230.0,110.0,38,0.13510176035956092,351,True,False
simple,0,5,110,0,0.0,-40.0,87,0.13375074275596532,352,False,False
simple,0,5,111,0,20.0,-40.0,21,0.13241323532840568,352,False,False
simple,0,5,112,0,170.0,110.0,34,0.13108910297512164,354,True,False
simple,0,5,113,0,20.0,-40.0,18,0.12977821194537043,354,False,False
simple,0,5,114,0,210.0,110.0,48,0.12848042982591673,356,True,False
simple,0,5,115,0,250.0,110.0,79,0.12719562552765756,356,True,False
simple,0,5,116,0,-20.0,-40.0,32,0.125923669272381,358,False,False
simple,0,5,117,0,230.0,110.0,36,0.12466443257965719,358,True,False
simple,0,5,118,0,190.0,110.0,24,0.12341778825386061,358,True,False
simple,0,5,119,0,230.0,110.0,50,0.12218361037132201,359,True,False
simple,0,5,120,0,-20.0,-40.0,14,0.12096177426760879,359,False,False
simple,0,5,121,0,210.0,110.0,41,0.1197521565249327,359,True,False
simple,0,5,122,0,210.0,110.0,45,0.11855463495968338,360,True,False
simple,0,5,123,0,250.0,110.0,52,0.11736908861008655,360,True,False
simple,0,5,124,0,170.0,110.0,35,0.11619539772398568,362,True,False
simple,0,5,125,0,250.0,110.0,48,0.11503344374674583,362,True,False
simple,0,5,126,0,170.0,110.0,35,0.11388310930927838,362,True,False
simple,0,5,127,0,230.0,110.0,40,0.11274427821618559,363,True,False
simple,0,5,128,0,210.0,110.0,34,0.11161683543402373,363,True,False
simple,0,5,129,0,250.0,110.0,44,0.11050066707968349,363,True,False
simple,0,5,130,0,190.0,110.0,25,0.10939566040888665,363,True,False
simple,0,5,131,0,250.0,110.0,70,0.10830170380479778,363,True,False
simple,0,5,132,0,230.0,110.0,38,0.10721868676674981,363,True,False
simple,0,5,133,0,250.0,110.0,38,0.10614649989908231,363,True,False
simple,0,5,134,0,0.0,-40.0,14,0.1050850349000915,363,False,False
simple,0,5,135,0,230.0,110.0,33,0.10403418455109058,363,True,False
simple,0,5,136,0,20.0,-40.0,47,0.10299384270557967,365,False,False
simple,0,5,137,0,170.0,110.0,23,0.10196390427852386,365,True,False
simple,0,5,138,0,190.0,110.0,28,0.10094426523573863,365,True,False
simple,0,5,139,0,230.0,110.0,32,0.09993482258338124,365,True,False
simple,0,5,140,0,170.0,110.0,21,0.09893547435754743,365,True,False
simple,0,5,141,0,210.0,110.0,41,0.09794611961397195,365,True,False
simple,0,5,142,0,230.0,110.0,39,0.09696665841783224,365,True,False
simple,0,5,143,0,230.0,110.0,35,0.09599699183365391,365,True,False
simple,0,5,144,0,250.0,110.0,61,0.09503702191531738,365,True,False
simple,0,5,145,0,210.0,110.0,31,0.0940866516961642,365,True,False
simple,0,5,146,0,-40.0,-40.0,5,0.09314578517920256,365,False,False
simple,0,5,147,0,210.0,110.0,29,0.09221432732741054,365,True,False
simple,0,5,148,0,250.0,110.0,74,0.09129218405413643,365,True,False
simple,0,5,149,0,170.0,110.0,19,0.09037926221359506,365,True,False
simple,0,5,150,0,210.0,110.0,31,0.0894754695914591,365,True,False
simple,0,5,151,0,170.0,110.0,19,0.08858071489554452,365,True,False
simple,0,5,152,0,210.0,110.0,33,0.08769490774658907,365,True,False
simple,0,5,153,0,250.0,110.0,47,0.08681795866912317,365,True,False
simple,0,5,154,0,230.0,110.0,35,0.08594977908243194,365,True,False
simple,0,5,155,0,190.0,110.0,25,0.08509028129160762,365,True,False
simple,0,5,156,0,0.0,-40.0,12,0.08423937847869153,365,False,False
simple,0,5,157,0,230.0,110.0,33,0.08339698469390462,365,True,False
simple,0,5,158,0,20.0,-40.0,34,0.08256301484696557,365,False,False
simple,0,5,159,0,170.0,110.0,29,0.08173738469849591,365,True,False
simple,0,5,160,0,210.0,110.0,29,0.08092001085151095,365,True,False
simple,0,5,161,0,250.0,110.0,34,0.08011081074299584,365,True,False
simple,0,5,162,0,230.0,110.0,31,0.07930970263556587,365,True,False
simple,0,5,163,0,-20.0,-40.0,56,0.07851660560921021,365,False,False
simple,0,5,164,0,210.0,110.0,29,0.0777314395531181,365,True,False
simple,0,5,165,0,210.0,110.0,33,0.07695412515758693,365,True,False
simple,0,5,166,0,210.0,110.0,82,0.07618458390601106,368,True,False
simple,0,5,167,0,-20.0,-40.0,13,0.07542273806695095,369,False,False
simple,0,5,168,0,230.0,110.0,31,0.07466851068628144,369,True,False
simple,0,5,169,0,0.0,-40.0,12,0.07392182557941862,369,False,False
simple,0,5,170,0,210.0,110.0,79,0.07318260732362443,369,True,False
simple,0,5,171,0,190.0,110.0,27,0.07245078125038819,369,True,False
simple,0,5,172,0,230.0,110.0,33,0.0717262734378843,369,True,False
simple,0,5,173,0,230.0,110.0,36,0.07100901070350546,369,True,False
simple,0,5,174,0,230.0,110.0,31,0.0702989205964704,369,True,False
simple,0,5,175,0,20.0,-40.0,22,0.0695959313905057,369,False,False
simple,0,5,176,0,20.0,-40.0,23,0.06889997207660065,369,False,False
simple,0,5,177,0,170.0,110.0,21,0.06821097235583463,369,True,False
simple,0,5,178,0,170.0,110.0,19,0.06752886263227628,369,True,False
simple,0,5,179,0,170.0,110.0,19,0.06685357400595351,369,True,False
simple,0,5,180,0,230.0,110.0,31,0.06618503826589398,369,True,False
simple,0,5,181,0,250.0,110.0,48,0.06552318788323504,369,True,False
