episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,35145,0.38049129417001787,2938,-17.88,0.022,0.978
2000,71445,0.36193406234793696,3656,27.42,0.178,0.821
3000,105336,0.3442818994674461,3829,92.88,0.453,0.547
4000,136710,0.32749066371920244,3895,113.42,0.541,0.459
5000,167579,0.3115183661677936,3916,115.2,0.543,0.457
6000,198701,0.2963250657522844,3936,125.59,0.581,0.419
7000,229583,0.2818727694077567,3943,136.19,0.636,0.364
8000,260428,0.26812533705811153,3974,139.33,0.639,0.361
9000,290564,0.2550483912425324,3979,139.65,0.638,0.362
10000,321383,0.24260923114963107,3980,156.54,0.702,0.298
11000,352142,0.2307767508442905,3984,158.92,0.722,0.278
12000,382469,0.21952136148273962,3989,156.09,0.709,0.291
13000,412570,0.20881491732132998,3989,164.56,0.742,0.258
14000,442490,0.198630645333996,4001,168.77,0.761,0.239
15000,472312,0.18894307826239523,4005,171.74,0.77,0.23
16000,501461,0.1797279909313141,4005,172.52,0.772,0.228
17000,531036,0.17096233967008276,4017,181.87,0.811,0.189
18000,560719,0.16262420468850974,4019,182.63,0.816,0.184
19000,590000,0.15469273526325256,4019,184.4,0.829,0.171
20000,618747,0.14714809759753764,4021,184.78,0.818,0.182
21000,648098,0.13997142522385816,4028,186.85,0.826,0.174
22000,676769,0.13314477182561918,4028,189.17,0.853,0.147
23000,705219,0.12665106635975368,4028,191.66,0.851,0.149
24000,734021,0.12047407036808883,4029,196.54,0.877,0.123
25000,762776,0.11459833737070983,4029,199.61,0.887,0.113
