episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,34903,0.38049129417001787,10481,3.66,0.001,0.997
2000,68323,0.36193406234793696,17054,3.61,0.001,0.998
3000,102530,0.3442818994674461,21763,4.43,0.0,1.0
4000,135003,0.32749066371920244,25412,4.78,0.002,0.996
5000,167030,0.3115183661677936,28443,5.25,0.0,1.0
6000,197867,0.2963250657522844,30853,6.11,0.004,0.994
7000,228447,0.2818727694077567,33283,6.8,0.003,0.997
8000,259221,0.26812533705811153,35579,7.34,0.005,0.994
9000,289203,0.2550483912425324,37609,7.88,0.006,0.992
10000,318921,0.24260923114963107,39656,8.6,0.005,0.995
11000,348148,0.2307767508442905,41374,9.51,0.01,0.99
12000,375773,0.21952136148273962,43078,10.36,0.006,0.993
13000,404847,0.20881491732132998,44978,11.21,0.005,0.992
14000,431817,0.198630645333996,46683,12.08,0.01,0.99
15000,458675,0.18894307826239523,48324,12.74,0.011,0.989
16000,485252,0.1797279909313141,50012,14.01,0.015,0.985
17000,512519,0.17096233967008276,51701,14.08,0.017,0.983
18000,537530,0.16262420468850974,52939,14.47,0.01,0.99
19000,562546,0.15469273526325256,54082,14.54,0.016,0.984
20000,587857,0.14714809759753764,55358,15.55,0.015,0.983
21000,612908,0.13997142522385816,56770,16.31,0.021,0.978
22000,637471,0.13314477182561918,58044,17.31,0.011,0.989
23000,661832,0.12665106635975368,59150,17.36,0.023,0.977
24000,686225,0.12047407036808883,60347,19.08,0.021,0.979
25000,710238,0.11459833737070983,61342,19.86,0.033,0.967
26000,734112,0.10900917423978466,62441,19.88,0.033,0.967
27000,757878,0.10369260445725163,63467,21.01,0.032,0.967
28000,782282,0.09863533316449892,64526,21.5,0.041,0.959
29000,805740,0.09382471391662742,65575,22.19,0.047,0.951
30000,829085,0.08924871705817324,66558,22.08,0.042,0.958
31000,852038,0.08489589964119515,67306,23.15,0.047,0.953
32000,875336,0.08075537681051585,68000,23.16,0.057,0.943
33000,897760,0.07681679458455153,68736,24.51,0.06,0.94
34000,920345,0.07307030396367098,69499,25.23,0.069,0.931
35000,942585,0.06950653630133428,70153,24.49,0.062,0.938
36000,964946,0.06611657987642498,70807,26.21,0.087,0.913
37000,987738,0.06289195760819075,71494,26.75,0.095,0.905
38000,1010276,0.05982460585806616,72137,26.73,0.086,0.914
39000,1032768,0.05690685426536711,72690,28.46,0.106,0.893
40000,1055152,0.054131406566435475,73268,28.25,0.113,0.887
41000,1077552,0.05149132234926605,73768,28.96,0.101,0.899
42000,1098699,0.05,74217,29.57,0.121,0.879
43000,1120810,0.05,74644,30.63,0.136,0.863
44000,1142640,0.05,75127,30.7,0.135,0.865
45000,1165142,0.05,75570,30.9,0.136,0.862
46000,1188485,0.05,76182,31.3,0.146,0.854
47000,1210559,0.05,76623,31.41,0.157,0.843
48000,1233584,0.05,77101,33.3,0.188,0.811
49000,1255883,0.05,77440,33.03,0.167,0.833
50000,1277314,0.05,77786,33.74,0.187,0.813
