episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,33950,0.38049129417001787,10527,3.72,0.001,0.995
2000,67227,0.36193406234793696,17004,3.77,0.001,0.997
3000,99483,0.3442818994674461,21681,4.35,0.002,0.997
4000,132825,0.32749066371920244,25404,4.75,0.003,0.996
5000,165510,0.3115183661677936,28514,5.11,0.001,0.998
6000,196418,0.2963250657522844,30880,5.87,0.003,0.996
7000,225584,0.2818727694077567,33042,6.18,0.001,0.999
8000,256113,0.26812533705811153,35224,7.33,0.002,0.997
9000,286946,0.2550483912425324,37566,8.78,0.004,0.994
10000,316320,0.24260923114963107,39436,8.62,0.003,0.996
11000,344718,0.2307767508442905,41338,9.67,0.005,0.994
12000,372462,0.21952136148273962,43016,10.33,0.008,0.991
13000,398944,0.20881491732132998,44623,11.09,0.01,0.99
14000,426618,0.198630645333996,46245,12.0,0.007,0.993
15000,453355,0.18894307826239523,47761,12.62,0.01,0.99
16000,479600,0.1797279909313141,49311,13.07,0.015,0.985
17000,506508,0.17096233967008276,50949,14.2,0.018,0.98
18000,533704,0.16262420468850974,52426,14.61,0.015,0.984
19000,559777,0.15469273526325256,53998,15.11,0.013,0.985
20000,584330,0.14714809759753764,55349,15.98,0.018,0.982
21000,609566,0.13997142522385816,56579,16.16,0.022,0.976
22000,634260,0.13314477182561918,57972,17.6,0.012,0.988
23000,657191,0.12665106635975368,59014,18.98,0.027,0.973
24000,681782,0.12047407036808883,60108,19.62,0.036,0.964
25000,704938,0.11459833737070983,61151,19.18,0.031,0.968
26000,728552,0.10900917423978466,62203,20.14,0.032,0.968
27000,751658,0.10369260445725163,63035,20.09,0.031,0.969
28000,774934,0.09863533316449892,63962,21.3,0.041,0.959
29000,797564,0.09382471391662742,64740,20.81,0.042,0.958
30000,820501,0.08924871705817324,65581,22.79,0.049,0.95
31000,843103,0.08489589964119515,66365,21.6,0.044,0.955
32000,865118,0.08075537681051585,67050,23.08,0.053,0.947
33000,887603,0.07681679458455153,67775,23.91,0.053,0.946
34000,911133,0.07307030396367098,68692,23.93,0.057,0.942
35000,933361,0.06950653630133428,69290,25.23,0.072,0.928
36000,955083,0.06611657987642498,69898,26.3,0.084,0.916
37000,977274,0.06289195760819075,70597,26.21,0.079,0.92
38000,999900,0.05982460585806616,71341,27.18,0.084,0.915
39000,1022046,0.05690685426536711,71890,27.97,0.104,0.895
40000,1044128,0.054131406566435475,72462,28.04,0.089,0.911
41000,1066310,0.05149132234926605,72973,28.57,0.098,0.901
42000,1088578,0.05,73433,28.19,0.098,0.902
43000,1110251,0.05,73938,30.04,0.134,0.866
44000,1131049,0.05,74367,29.17,0.117,0.883
45000,1154300,0.05,74919,30.36,0.138,0.861
46000,1176720,0.05,75450,31.34,0.146,0.854
47000,1198973,0.05,75845,30.79,0.147,0.853
48000,1221881,0.05,76312,31.75,0.153,0.847
49000,1243583,0.05,76708,31.47,0.157,0.843
50000,1266532,0.05,77079,33.46,0.174,0.826
