episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,37466,0.38049129417001787,3292,-17.42,0.027,0.971
2000,74444,0.36193406234793696,4376,31.23,0.177,0.821
3000,107477,0.3442818994674461,4793,72.67,0.361,0.639
4000,138918,0.32749066371920244,4904,105.03,0.497,0.503
5000,169444,0.3115183661677936,4971,120.8,0.562,0.438
6000,201274,0.2963250657522844,5035,135.59,0.615,0.385
7000,230728,0.2818727694077567,5062,125.84,0.586,0.414
8000,260009,0.26812533705811153,5091,137.39,0.641,0.359
9000,290063,0.2550483912425324,5118,149.17,0.668,0.332
10000,319403,0.24260923114963107,5136,145.2,0.672,0.328
11000,349463,0.2307767508442905,5150,160.41,0.727,0.273
12000,378950,0.21952136148273962,5175,158.11,0.715,0.285
13000,407254,0.20881491732132998,5188,154.99,0.697,0.303
14000,436129,0.198630645333996,5195,165.75,0.749,0.251
15000,464736,0.18894307826239523,5200,171.94,0.776,0.224
16000,493443,0.1797279909313141,5206,175.31,0.788,0.212
17000,522237,0.17096233967008276,5212,177.18,0.795,0.205
18000,550794,0.16262420468850974,5226,180.51,0.813,0.187
19000,579105,0.15469273526325256,5237,179.6,0.804,0.196
20000,607909,0.14714809759753764,5237,190.02,0.836,0.164
21000,636304,0.13997142522385816,5240,189.71,0.843,0.157
22000,664660,0.13314477182561918,5245,191.05,0.846,0.154
23000,692713,0.12665106635975368,5246,192.46,0.858,0.142
24000,720831,0.12047407036808883,5249,191.91,0.862,0.138
25000,748818,0.11459833737070983,5249,199.02,0.886,0.114
