episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,38549,0.38049129417001787,3203,-16.44,0.029,0.97
2000,74675,0.36193406234793696,4155,27.58,0.18,0.819
3000,110263,0.3442818994674461,4703,79.2,0.4,0.6
4000,143004,0.32749066371920244,4856,101.38,0.492,0.508
5000,174785,0.3115183661677936,4996,115.0,0.547,0.453
6000,205840,0.2963250657522844,5065,129.68,0.599,0.401
7000,237034,0.2818727694077567,5118,137.23,0.627,0.373
8000,267271,0.26812533705811153,5139,143.18,0.666,0.334
9000,298404,0.2550483912425324,5163,157.15,0.704,0.296
10000,328005,0.24260923114963107,5187,148.86,0.676,0.324
11000,358635,0.2307767508442905,5213,156.56,0.71,0.29
12000,388325,0.21952136148273962,5220,155.8,0.719,0.281
13000,418458,0.20881491732132998,5233,167.56,0.754,0.246
14000,447728,0.198630645333996,5246,167.0,0.762,0.238
15000,476705,0.18894307826239523,5247,173.41,0.786,0.214
16000,505559,0.1797279909313141,5257,169.03,0.753,0.247
17000,534872,0.17096233967008276,5264,183.7,0.815,0.185
18000,563686,0.16262420468850974,5265,182.45,0.817,0.183
19000,592691,0.15469273526325256,5270,187.77,0.837,0.163
20000,621406,0.14714809759753764,5274,183.28,0.806,0.194
21000,650053,0.13997142522385816,5275,191.0,0.849,0.151
22000,678431,0.13314477182561918,5278,189.67,0.855,0.145
23000,706854,0.12665106635975368,5278,192.85,0.854,0.146
24000,734915,0.12047407036808883,5279,198.65,0.877,0.123
25000,762687,0.11459833737070983,5279,191.97,0.849,0.151
