episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,37262,0.38049129417001787,2989,-8.22,0.061,0.938
2000,74299,0.36193406234793696,3573,45.33,0.247,0.752
3000,108796,0.3442818994674461,3776,91.86,0.453,0.546
4000,141988,0.32749066371920244,3835,113.8,0.532,0.468
5000,174761,0.3115183661677936,3867,127.8,0.586,0.414
6000,205899,0.2963250657522844,3878,131.05,0.613,0.387
7000,237160,0.2818727694077567,3892,137.41,0.633,0.367
8000,267782,0.26812533705811153,3903,140.28,0.653,0.347
9000,299994,0.2550483912425324,3909,154.08,0.698,0.302
10000,330232,0.24260923114963107,3927,150.05,0.689,0.311
11000,361424,0.2307767508442905,3938,161.19,0.725,0.275
12000,392563,0.21952136148273962,3947,164.98,0.738,0.262
13000,422573,0.20881491732132998,3948,168.99,0.757,0.243
14000,452385,0.198630645333996,3959,172.29,0.766,0.234
15000,482176,0.18894307826239523,3959,175.72,0.793,0.207
16000,511452,0.1797279909313141,3961,169.95,0.769,0.231
17000,541100,0.17096233967008276,3964,176.6,0.792,0.208
18000,570037,0.16262420468850974,3967,178.1,0.809,0.191
19000,599651,0.15469273526325256,3968,184.45,0.831,0.169
20000,628534,0.14714809759753764,3969,188.81,0.841,0.159
21000,657494,0.13997142522385816,3969,189.88,0.843,0.157
22000,686436,0.13314477182561918,3973,194.75,0.864,0.136
23000,714856,0.12665106635975368,3973,190.61,0.854,0.146
24000,743527,0.12047407036808883,3973,197.04,0.868,0.132
25000,772326,0.11459833737070983,3974,199.92,0.891,0.109
