training_steps,mean,std,count
20000,0.0,0.0,5
40000,0.0,0.0,5
60000,0.0,0.0,5
80000,0.0,0.0,5
100000,0.01,0.0223606797749979,5
120000,0.01,0.022360679774997897,5
140000,0.02,0.027386127875258306,5
160000,0.02,0.027386127875258306,5
180000,0.0,0.0,5
200000,0.0,0.0,5
220000,0.01,0.0223606797749979,5
240000,0.030000000000000006,0.0447213595499958,5
260000,0.02,0.027386127875258306,5
280000,0.02,0.0447213595499958,5
300000,0.0,0.0,5
320000,0.02,0.027386127875258306,5
340000,0.02,0.027386127875258306,5
360000,0.05,0.03535533905932738,5
380000,0.13,0.07582875444051551,5
400000,0.04,0.05477225575051661,5
420000,0.06999999999999999,0.057008771254956896,5
440000,0.08,0.09082951062292476,5
460000,0.08,0.057008771254956896,5
480000,0.08,0.0670820393249937,5
500000,0.13999999999999999,0.10246950765959598,5
520000,0.12000000000000002,0.09082951062292476,5
540000,0.08,0.044721359549995794,5
560000,0.13,0.0570087712549569,5
580000,0.11000000000000001,0.08215838362577492,5
600000,0.09,0.07416198487095664,5
620000,0.16999999999999998,0.14832396974191325,5
640000,0.18,0.0447213595499958,5
660000,0.18,0.02738612787525832,5
680000,0.09,0.08215838362577493,5
700000,0.11000000000000001,0.08215838362577492,5
720000,0.11000000000000001,0.07416198487095663,5
740000,0.12,0.08366600265340757,5
760000,0.16999999999999998,0.11510864433221338,5
780000,0.13999999999999999,0.07416198487095663,5
800000,0.19,0.09617692030835673,5
820000,0.13,0.057008771254956896,5
840000,0.15,0.09354143466934854,5
860000,0.16,0.0821583836257749,5
880000,0.13999999999999999,0.10246950765959598,5
900000,0.19,0.11937336386313323,5
920000,0.18,0.16431676725154987,5
940000,0.19,0.08944271909999157,5
960000,0.24,0.16355427233796127,5
980000,0.22000000000000003,0.130384048104053,5
1000000,0.21000000000000002,0.15572411502397437,5
1020000,0.24,0.16355427233796127,5
1040000,0.22000000000000003,0.14404860290887936,5
1060000,0.24,0.18841443681416775,5
1080000,0.27,0.24647515087732474,5
1100000,0.3,0.24238399287081644,5
1120000,0.31,0.27248853186877425,5
1140000,0.27999999999999997,0.2224859546128699,5
1160000,0.3,0.17677669529663687,5
1180000,0.27,0.2564176280991617,5
1200000,0.33999999999999997,0.2408318915758459,5
1220000,0.41,0.27703790354390134,5
1240000,0.37,0.29495762407505255,5
1260000,0.43000000000000005,0.2841654447676564,5
1280000,0.44000000000000006,0.30083217912982646,5
1300000,0.43,0.26598872156540776,5
1320000,0.43,0.27294688127912364,5
1340000,0.4,0.2345207879911715,5
1360000,0.4600000000000001,0.260768096208106,5
1380000,0.42000000000000004,0.27064737205448713,5
1400000,0.42000000000000004,0.25149552679918585,5
1420000,0.41,0.3110466202999158,5
1440000,0.45999999999999996,0.2678619047195775,5
1460000,0.47000000000000003,0.24647515087732477,5
1480000,0.5,0.24748737341529164,5
1500000,0.5599999999999999,0.23021728866442678,5
1520000,0.5599999999999999,0.2043281674170255,5
1540000,0.5599999999999999,0.22192341021172146,5
1560000,0.5700000000000001,0.2539685019840059,5
1580000,0.53,0.2539685019840059,5
1600000,0.62,0.21965882636488795,5
1620000,0.6,0.223606797749979,5
1640000,0.62,0.23874672772626648,5
1660000,0.6799999999999999,0.2413503677229434,5
1680000,0.64,0.23822258499143192,5
1700000,0.71,0.21330729007701543,5
1720000,0.6900000000000001,0.24596747752497689,5
1740000,0.73,0.219658826364888,5
1760000,0.6799999999999999,0.26124700955226265,5
1780000,0.76,0.18841443681416772,5
1800000,0.74,0.23021728866442678,5
1820000,0.71,0.22192341021172146,5
1840000,0.74,0.23021728866442676,5
1860000,0.76,0.26315394733881536,5
1880000,0.76,0.18841443681416772,5
1900000,0.77,0.21965882636488795,5
1920000,0.79,0.17102631376487068,5
1940000,0.78,0.1753567791675018,5
1960000,0.78,0.21965882636488795,5
1980000,0.74,0.2559296778413946,5
2000000,0.75,0.18371173070873834,5
