variant,label,rml_success_rate_mean,rml_success_rate_std,mean_tracking_error_mean,mean_tracking_error_std,mean_return_mean,mean_return_std
baseline,Baseline,0.0,0.0,0.00098113473213558,0.0011203122610846767,35.83778519086084,2.1548463867303447
manual_rm_semantic_progress,Manual RM semantic progress,0.8,0.4472135954999579,0.07219540942673569,0.13891824889901547,753.9017760047091,456.2939726011743
rml_graph_encoder,RML graph encoder,1.0,0.0,0.024247837344235634,0.01535655904152469,961.550934941443,6.644015011710958
rml_hidden,RML hidden,0.4,0.5477225575051661,0.06441430870448868,0.022461706365425424,347.1506552220751,541.118857280979
rml_semantic_progress,RML semantic progress,1.0,0.0,0.020413621119377556,0.013408771925901128,956.5510446442179,6.976817323485823
